fetchedAt,rank,address,displayName,coin,side,size,entryPx,positionValue,unrealizedPnl,returnOnEquity,leverage,liquidationPx
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,TIA,short,-198465.9,0.37187,74533.868745,-728.764758,-0.0493708916,5,107.5416823052
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,ADA,long,2706397.0,0.14664,394186.72305,-2681.991637,-0.0675788123,10,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,NEAR,short,-369210.2,1.90012,695370.49068,6174.097287,0.0880071972,10,61.8663204529
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,PYTH,short,-2975684.0,0.03387,101408.335036,-619.972964,-0.0307561782,5,7.1816198335
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,kBONK,short,-160339740.0,0.004751,661401.4275,100432.814951,1.3183027141,10,0.1422557598
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,JUP,long,805070.0,0.221796,175521.3614,-3040.326715,-0.0851337918,5,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,WIF,short,-673600.0,0.162357,115791.84,-6427.802736,-0.2938718658,5,31.7467558454
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,ONDO,short,-896903.0,0.325088,279143.12069,12429.665504,0.4262971749,10,24.16274818
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,STRK,long,38.9,0.18052,1.147939,-5.874289,-2.5095834257,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,TAO,short,-1958.718,220.734,410018.43894,22337.877345,0.2583271772,5,11067.8726271042
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,kFLOKI,long,4248395.0,0.023395,92211.413475,-7183.47736,-0.3613604935,5,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,BOME,short,-58523568.0,0.000572,23584.997904,9945.54911,0.8898347921,3,0.3430591687
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,ETHFI,long,9.0,1.1562,3.10284,-7.30296,-3.5090814738,5,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,ENA,short,-24238632.0,0.106783,1863514.5054240001,724782.244658,1.4001142733,5,0.9883694388
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,POPCAT,short,-6884155.0,0.047792,304906.109105,24103.191861,0.2197797308,3,2.9572790993
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,EIGEN,short,-1575449.8400000001,0.2493,381101.316296,11701.352751,0.1489469608,5,13.7420587213
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,TURBO,long,853.0,0.002621,0.698607,-1.537106,-2.0625715376,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,GOAT,long,234.0,0.046428,3.019536,-7.844616,-2.1661928147,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,MOODENG,long,245.0,0.094647,9.611595,-13.57692,-1.756505753,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,GRASS,short,-437058.4,0.37427,223157.648456,-59578.909736,-1.0926647962,3,46.3933864159
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,PURR,long,121.0,0.087038,10.458393,-0.073293,-0.0208778537,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,PNUT,short,-50.1,0.17553,2.095182,6.698871,2.2852503845,3,424527.4449632371
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,XLM,long,722231.0,0.182139,124512.6244,-7034.470523,-0.2673746055,5,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,HYPE,short,-51964.03,62.8921,3269524.80357,-1397.601399,-0.0012829379,3,486.8526141321
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,ME,long,2.1,1.5,0.125265,-3.024735,-2.8807,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,VIRTUAL,short,-754463.7,0.56892,405607.229757,23627.701891,0.2752304175,5,28.7282610512
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,PENGU,short,-41546079.0,0.006434,259205.986881,8113.545959,0.1517574468,5,0.5181723379
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,USUAL,long,17.7,0.15174,0.156468,-2.52933,-2.8252273626,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,FARTCOIN,short,-3175142.7999999998,0.13201,415403.932524,3749.111466,0.026833479,3,7.1097387312
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,AIXBT,short,-1021933.0,0.018224,19410.595402,-786.335684,-0.1266631312,3,19.6420628206
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,GRIFFAIN,short,-3535.0,0.007898,34.052655,-6.132196,-0.6588927496,3,5672.841765687
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,SPX,short,-512825.4,0.3568,177411.94713,5564.814279,0.152063416,5,41.8197594047
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,MORPHO,short,-113290.1,1.73716,200557.46403,-3754.172298,-0.0953787984,5,189.5080008007
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,TRUMP,long,310686.6,1.7531,513533.88114,-31133.012102,-0.5715972916,10,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,MELANIA,long,1881274.6000000001,0.08244,140756.965572,-14336.687331,-0.2773167128,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,VVV,short,-53172.45,13.6424,725803.9425,-403.59862,-0.0016691416,3,390.7900713913
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,BERA,long,36.9,0.2609,7.785531,-1.841937,-0.9566051012,5,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,LAYER,long,6.0,1.141,0.395592,-6.450408,-2.8266468011,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,IP,short,-607740.0,0.32063,190477.8708,4382.277145,0.0674680358,3,33.3101975513
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,KAITO,long,25.0,0.34043,14.411,5.90025,3.4663513791,5,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,PAXG,short,-67.551,4183.085,275229.7944,7341.82053,0.1299107933,5,320763.6583180116
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,ZORA,long,139.0,0.026761,1.049589,-2.670233,-2.1535167543,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,SOPH,long,112.0,0.053636,0.543312,-5.464014,-2.7286752875,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,PUMP,short,-2332861684.0,0.001457,3429306.6754800002,-28610.366367,-0.025239272,3,0.0109099237
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,XPL,short,-10437669.0,0.101671,1043610.334965,17598.012402,0.0829149735,5,2.1462033367
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,WLFI,long,4871557.0,0.058092,284430.727002,1427.974748,0.0252289905,5,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,ASTER,short,-1669045.0,0.667306,1038780.2271,74984.932973,0.2019768682,3,13.3654893215
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,AVNT,short,-737922.0,0.095279,70654.555656,-345.659055,-0.0245814592,5,28.9183375115
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,STBL,long,686697.0,0.025855,17610.344565,-144.767259,-0.0244606613,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,0G,long,3.0,1.8125,0.68037,-4.75713,-2.6246234483,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,2Z,long,1966774.0,0.067077,126109.54888,-5817.1705,-0.1322818575,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,ZEC,short,-998.22,409.8636,388786.7256,20347.326241,0.2486633189,5,22589.2372505824
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,MON,long,4479245.0,0.018912,85378.888945,667.159271,0.0236269265,3,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,MET,short,-1359958.0,0.155407,216342.11864,-4994.590499,-0.070896365,3,14.9047277252
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,LIT,short,-511099.0,1.638986,936691.1372999999,-99006.735868,-0.354572924,3,43.4466004331
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,CHIP,long,132.0,0.03071,4.228884,0.175164,0.1296320417,3,
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,BTC,long,268.03774,59295.6,16159727.3068599999,266252.407324,0.3350461859,20,11887.5199219901
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,ETH,short,-4551.7606,1704.72,7194057.6283,565424.403203,1.0930325006,15,4339.883798011
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,SOL,long,62133.44,70.1084,4453165.7782399999,97089.685487,0.4457667103,20,
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,AVAX,short,-467611.71,13.2086,2978593.0703580002,3197918.3075640001,5.177547829,10,32.4623795751
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,BNB,short,-1553.193,763.004,864476.15994,320617.811225,2.7054209964,10,8117.5625771281
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,LTC,long,13.43,96.343,575.69038,-718.197241,-5.5506925744,10,
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,DOGE,short,-33222029.0,0.106077,2459559.6949860002,1064561.437468,3.0207856014,10,0.4412962089
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,kPEPE,long,106434.0,0.003678,254.590128,-136.874124,-3.4964654704,10,
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,XRP,long,2247857.0,1.094204,2365195.1354,-94419.509745,-0.7677585587,20,
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,WLD,short,-56580.3,0.98736,25790.998149,30074.624498,5.3833866111,10,216.0997158301
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,ADA,short,-26179.0,0.549523,3812.97135,10573.010114,7.3495229647,10,466.2137104085
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,WIF,short,-1226.0,0.784313,210.7494,750.81932,3.9041376055,5,9952.2075879562
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,TAO,short,-1987.21,259.298,415982.6693,99297.877016,0.9635321741,5,6070.1076462779
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,ENA,long,209641.0,0.131656,16117.619362,-11483.001737,-4.1604142515,10,
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,POPCAT,short,-4674.0,0.215958,207.016134,802.374167,2.3847291762,3,2610.4841184355
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,GOAT,short,-327719.0,0.478596,4228.885976,152616.236692,2.9191134687,3,35.5512644443
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,HYPE,long,176776.29,63.0341,11122587.3905100003,-20356.048865,-0.0091340538,5,
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,PENGU,long,129017.0,0.028211,804.937063,-2834.761524,-3.8942256567,5,
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,FARTCOIN,short,-1288530.8,0.19139,168578.484564,78043.075777,3.1644871466,10,9.5999057516
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,PUMP,long,317374.0,0.001716,466.53978,-78.115278,-0.7171077993,5,
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,XPL,long,645.0,0.11772,64.490325,-11.439075,-0.7532704723,5,
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,LINEA,short,-126660.0,0.027679,290.93802,3214.955739,2.7510437794,3,86.6995666833
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,ASTER,long,1604711.0,0.633739,998740.03218,-18228.92999,-0.053774296,3,
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,ZEC,short,-8777.88,407.8545,3418808.7023999998,161289.839314,0.4505178766,10,1779.4734555308
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,MON,short,-15613.0,0.031901,297.599393,200.47311,2.0124892339,5,745.9740950396
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,LIT,short,-1790890.0,1.626236,3282164.1030000001,-369754.023955,-0.3808742731,3,8.3359447255
2026-06-28T09:21:33.727838+00:00,3,0x7fdafde5cfb5465924316eced2d3715494c517d1,BobbyBigSize,XMR,short,-18074.627,343.475,5613798.3999300003,594385.526463,0.4787112733,5,954.9516206553
2026-06-28T09:21:33.727838+00:00,4,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,BTC,long,13.19702,62230.5,795635.13878,-25623.312723,-0.3120005971,10,
2026-06-28T09:21:33.727838+00:00,4,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,ETH,short,-3753.1142,2196.53,5931796.9930999996,2312043.7965040002,2.8045711405,10,4787.7982718719
2026-06-28T09:21:33.727838+00:00,4,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,SOL,short,-27038.1,81.1168,1937847.6651000001,255398.817649,1.1644784098,10,514.6990927538
2026-06-28T09:21:33.727838+00:00,4,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,AVAX,short,-17654.0,9.5279,112452.4492,55754.085859,1.6573103369,5,668.7370941545
